title,price,rating,reviews,availability,Category
Men's Pure Khadi Cotton Regular Fit Half Sleeves Solid Casual Shirt, ,5.0 out of 5 stars,4 ratings,In stock,amazon_men shirt_data
Allen Solly Mens Slim Collar Slub Casual Shirt, ,4.6 out of 5 stars,7 ratings,In stock,amazon_men shirt_data
Arrow Men's Checkered Full Sleeve Slim Fit Point Collar Cotton Casual Shirt, ,3.7 out of 5 stars,65 ratings,In stock,amazon_men shirt_data
Park Avenue Men's Pure Cotton Checks Pattern Regular Fit Semi Cutaway Collar Half Sleeve Formal Shirt, ,4.4 out of 5 stars,21 ratings,In stock,amazon_men shirt_data
Louis Philippe Regular Fit Solid All Day Comfort Cotton Effortless Ironing Shirt, ,4.1 out of 5 stars,96 ratings,In stock,amazon_men shirt_data
Louis Philippe Men's Solid Slim Fit Shirt, ,Previous page,,In stock,amazon_men shirt_data
Lymio Men T-Shirt || T Shirt for Men (T-48-51), ,4.9 out of 5 stars,128 ratings,Only 1 left in stock.,amazon_men shirt_data
Lymio Men T-Shirt || T-Shirt for Men (Polo-59-62), ,4.5 out of 5 stars,74 ratings,In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Chinese Collar | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,3.9 out of 5 stars,"6,603 ratings",In stock,amazon_men shirt_data
Amazon Brand - Symbol Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs), ,3.8 out of 5 stars,"7,182 ratings",In stock,amazon_men shirt_data
Louis Philippe Men's Easy to Care Cotton Slim fit Solid Casual Shirt with Natural Stretch, ,3.8 out of 5 stars,17 ratings,In stock,amazon_men shirt_data
GRECIILOOKS Shirt for Men | Mens Casual Shirt | Men Stylish Shirt | Men Popcorn Shirt | Men's Regular Fit | Men Formal Shirt | Men's Solid Slim Fit, ,4.1 out of 5 stars,494 ratings,In stock,amazon_men shirt_data
Allen Solly Men's Slim Fit Full Sleeve Striped Shirt, ,3.7 out of 5 stars,110 ratings,In stock,amazon_men shirt_data
BE ACTIVE Men's Casual Shirts|| Linen Cotton Lining Shirts for Men|| Stylish Full Sleeves Cotton Shirt for Men, ,3.5 out of 5 stars,277 ratings,In stock,amazon_men shirt_data
Men's Regular Fit Poly Popcorn Casual Shirt, ,2.8 out of 5 stars,5 ratings,In stock,amazon_men shirt_data
U.S. POLO ASSN. Men's Slim Fit Shirt, ,3.0 out of 5 stars,6 ratings,Only 1 left in stock.,amazon_men shirt_data
Leriya Fashion Mens Rayon Man Casual Shirt Regular Fit Western, ,3.7 out of 5 stars,"2,782 ratings",In stock,amazon_men shirt_data
Majestic Man Men's Standard Slim Fit Striped Pure Cotton Casual Shirt, ,4.0 out of 5 stars,239 ratings,In stock,amazon_men shirt_data
Park Avenue Men's Pure Cotton Checks Pattern Slim Fit Semi Cutaway Collar Full Sleeve Formal Shirt, ,4.2 out of 5 stars,70 ratings,In stock,amazon_men shirt_data
Peter England Men Pink Regular Fit Formal Shirt, ,5.0 out of 5 stars,2 ratings,In stock,amazon_men shirt_data
Louis Philippe Men's Easy to Iron Premium Cotton Wrinkle Resistant Slim fit Striped Formal Shirt, ,4.1 out of 5 stars,26 ratings,In stock,amazon_men shirt_data
IndoPrimo Men's Casual Solid Satin Shirt for Men Full Sleeves, ,4.2 out of 5 stars,512 ratings,In stock,amazon_men shirt_data
